CODGEO,LIBGEO,REG,DEP,E14TST,E14TS0ND,E14TS1,E14TS6,E14TS10,E14TS20,E14TS50,E14TS100,E14TS200,E14TS500
01128,Courtes,82,01,15,10,2,1,1,0,0,1,0,0
01129,Crans,82,01,7,6,1,0,0,0,0,0,0,0
01130,Cras-sur-Reyssouze,82,01,47,32,9,1,4,1,0,0,0,0
01133,Cressin-Rochefort,82,01,10,8,2,0,0,0,0,0,0,0
01134,Crottet,82,01,100,64,27,3,2,3,1,0,0,0
01135,Crozet,82,01,99,70,19,5,4,0,1,0,0,0
01136,Cruzilles-lès-Mépillat,82,01,22,20,2,0,0,0,0,0,0,0
01138,Culoz,82,01,176,119,44,4,2,4,2,0,0,1
01139,Curciat-Dongalon,82,01,19,11,6,1,1,0,0,0,0,0
01140,Curtafond,82,01,27,17,7,1,0,2,0,0,0,0
01141,Cuzieu,82,01,9,6,3,0,0,0,0,0,0,0
01142,Dagneux,82,01,272,158,64,18,15,13,3,0,1,0
01143,Divonne-les-Bains,82,01,534,373,125,17,13,4,0,1,1,0
01144,Dommartin,82,01,19,17,2,0,0,0,0,0,0,0
01145,Dompierre-sur-Veyle,82,01,58,48,8,0,1,1,0,0,0,0
01146,Dompierre-sur-Chalaronne,82,01,24,21,2,1,0,0,0,0,0,0
01147,Domsure,82,01,23,19,4,0,0,0,0,0,0,0
01148,Dortan,82,01,93,51,32,7,2,1,0,0,0,0
01149,Douvres,82,01,24,20,4,0,0,0,0,0,0,0
01150,Drom,82,01,6,4,1,1,0,0,0,0,0,0
01151,Druillat,82,01,57,43,14,0,0,0,0,0,0,0
01152,Échallon,82,01,29,24,4,1,0,0,0,0,0,0
01153,Échenevex,82,01,52,44,6,1,1,0,0,0,0,0
01154,Étrez,82,01,29,18,8,1,0,0,2,0,0,0
01155,Évosges,82,01,11,9,2,0,0,0,0,0,0,0
01156,Faramans,82,01,21,14,7,0,0,0,0,0,0,0
01157,Fareins,82,01,167,123,30,6,8,0,0,0,0,0
01158,Farges,82,01,20,16,4,0,0,0,0,0,0,0
01159,Feillens,82,01,220,130,53,15,12,6,3,0,1,0
01160,Ferney-Voltaire,82,01,665,394,182,43,26,14,4,2,0,0
01162,Flaxieu,82,01,4,4,0,0,0,0,0,0,0,0
01163,Foissiat,82,01,81,58,18,3,2,0,0,0,0,0
01165,Francheleins,82,01,42,36,4,1,0,1,0,0,0,0
01166,Frans,82,01,109,77,25,3,1,3,0,0,0,0
01167,Garnerans,82,01,35,26,8,0,0,1,0,0,0,0
01169,Genouilleux,82,01,21,16,5,0,0,0,0,0,0,0
01170,Béard-Géovreissiat,82,01,42,25,10,0,3,4,0,0,0,0
01171,Géovreisset,82,01,45,31,10,2,0,1,1,0,0,0
01172,Germagnat,82,01,6,6,0,0,0,0,0,0,0,0
01173,Gex,82,01,494,342,114,25,6,6,1,0,0,0
01174,Giron,82,01,10,9,1,0,0,0,0,0,0,0
01175,Gorrevod,82,01,29,18,4,1,4,2,0,0,0,0
01176,Le Grand-Abergement,82,01,6,5,1,0,0,0,0,0,0,0
01177,Grand-Corent,82,01,2,2,0,0,0,0,0,0,0,0
01179,Grièges,82,01,86,67,15,1,2,0,0,0,1,0
01180,Grilly,82,01,28,20,7,1,0,0,0,0,0,0
01181,Groissiat,82,01,93,48,15,7,9,11,2,1,0,0
01182,Groslée,82,01,25,20,3,1,1,0,0,0,0,0
01183,Guéreins,82,01,122,63,37,8,11,3,0,0,0,0
01184,Hautecourt-Romanèche,82,01,35,28,5,2,0,0,0,0,0,0
01185,Hauteville-Lompnes,82,01,238,132,78,10,10,5,1,1,1,0
01186,Hostiaz,82,01,4,4,0,0,0,0,0,0,0,0
01187,Hotonnes,82,01,42,27,12,2,0,1,0,0,0,0
01188,Illiat,82,01,29,23,5,1,0,0,0,0,0,0
01189,Injoux-Génissiat,82,01,37,29,6,1,0,1,0,0,0,0
01190,Innimond,82,01,6,5,1,0,0,0,0,0,0,0
01191,Izenave,82,01,12,10,2,0,0,0,0,0,0,0
01192,Izernore,82,01,156,71,44,12,13,9,4,3,0,0
01193,Izieu,82,01,4,4,0,0,0,0,0,0,0,0
01194,Jassans-Riottier,82,01,330,209,84,16,12,5,3,1,0,0
01195,Jasseron,82,01,73,45,14,3,6,4,1,0,0,0
01196,Jayat,82,01,55,30,17,4,2,1,1,0,0,0
01197,Journans,82,01,18,16,1,1,0,0,0,0,0,0
01198,Joyeux,82,01,8,6,2,0,0,0,0,0,0,0
01199,Jujurieux,82,01,110,82,16,4,4,2,2,0,0,0
01200,Labalme,82,01,14,11,3,0,0,0,0,0,0,0
01202,Lagnieu,82,01,394,278,83,11,16,3,1,1,1,0
01203,Laiz,82,01,56,37,12,2,3,0,1,1,0,0
01204,Lalleyriat,82,01,14,8,5,0,1,0,0,0,0,0
01205,Lancrans,82,01,36,25,6,2,2,1,0,0,0,0
01206,Lantenay,82,01,5,4,0,0,0,1,0,0,0,0
01207,Lapeyrouse,82,01,19,12,6,0,0,1,0,0,0,0
01208,Lavours,82,01,7,6,1,0,0,0,0,0,0,0
01209,Léaz,82,01,13,12,1,0,0,0,0,0,0,0
01210,Lélex,82,01,61,35,23,3,0,0,0,0,0,0
01211,Lent,82,01,47,31,13,0,1,2,0,0,0,0
01212,Lescheroux,82,01,31,26,3,2,0,0,0,0,0,0
01213,Leyment,82,01,64,46,9,3,4,1,1,0,0,0
01214,Leyssard,82,01,3,3,0,0,0,0,0,0,0,0
01215,Lhôpital,82,01,1,1,0,0,0,0,0,0,0,0
01216,Lhuis,82,01,53,43,9,0,0,0,1,0,0,0
01218,Lochieu,82,01,11,10,1,0,0,0,0,0,0,0
01219,Lompnas,82,01,8,7,1,0,0,0,0,0,0,0
01221,Lompnieu,82,01,7,6,1,0,0,0,0,0,0,0
01224,Loyettes,82,01,170,109,39,8,5,5,4,0,0,0
01225,Lurcy,82,01,9,8,1,0,0,0,0,0,0,0
01227,Magnieu,82,01,15,13,0,0,0,2,0,0,0,0
01228,Maillat,82,01,50,29,14,2,4,0,1,0,0,0
01229,Malafretaz,82,01,47,30,10,5,2,0,0,0,0,0
01230,Mantenay-Montlin,82,01,8,5,1,1,1,0,0,0,0,0
01231,Manziat,82,01,90,47,29,4,3,5,1,1,0,0
01232,Marboz,82,01,130,93,29,3,3,1,1,0,0,0
01233,Marchamp,82,01,4,4,0,0,0,0,0,0,0,0
01234,Marignieu,82,01,9,8,0,0,1,0,0,0,0,0
01235,Marlieux,82,01,54,38,12,2,2,0,0,0,0,0
01236,Marsonnas,82,01,24,19,4,1,0,0,0,0,0,0
01237,Martignat,82,01,103,50,34,4,4,7,2,2,0,0
01238,Massieux,82,01,138,84,37,8,5,2,1,1,0,0
01239,Massignieu-de-Rives,82,01,41,33,7,0,1,0,0,0,0,0
01240,Matafelon-Granges,82,01,33,27,6,0,0,0,0,0,0,0
01241,Meillonnas,82,01,73,54,12,2,4,0,1,0,0,0
01242,Mérignat,82,01,3,2,0,1,0,0,0,0,0,0
01243,Messimy-sur-Saône,82,01,83,64,17,2,0,0,0,0,0,0
01244,Meximieux,82,01,516,320,144,25,17,9,0,1,0,0
01245,Bohas-Meyriat-Rignat,82,01,41,34,6,0,1,0,0,0,0,0
01246,Mézériat,82,01,133,96,29,3,3,2,0,0,0,0
01247,Mijoux,82,01,51,36,11,3,1,0,0,0,0,0
01248,Mionnay,82,01,138,99,29,4,5,1,0,0,0,0
01249,Miribel,82,01,690,412,168,40,28,29,8,3,2,0
01250,Misérieux,82,01,78,63,13,1,1,0,0,0,0,0
01252,Mogneneins,82,01,29,20,7,2,0,0,0,0,0,0
01254,Montagnat,82,01,127,66,42,8,8,3,0,0,0,0
01255,Montagnieu,82,01,18,12,4,1,1,0,0,0,0,0
01257,Montanges,82,01,14,11,2,0,1,0,0,0,0,0
01258,Montceaux,82,01,47,32,14,0,0,1,0,0,0,0
01259,Montcet,82,01,23,22,1,0,0,0,0,0,0,0
01260,Le Montellier,82,01,10,7,3,0,0,0,0,0,0,0
01261,Monthieux,82,01,38,28,8,0,0,2,0,0,0,0
01262,Montluel,82,01,395,267,94,15,10,6,1,1,0,1
01263,Montmerle-sur-Saône,82,01,213,128,59,14,8,1,3,0,0,0
01264,Montracol,82,01,42,29,12,0,1,0,0,0,0,0
01265,Montréal-la-Cluse,82,01,257,143,78,16,8,6,3,3,0,0
01266,Montrevel-en-Bresse,82,01,185,93,61,11,10,10,0,0,0,0
01267,Nurieux-Volognat,82,01,56,31,15,2,6,1,0,1,0,0
01268,Murs-et-Gélignieux,82,01,22,15,6,1,0,0,0,0,0,0
01269,Nantua,82,01,231,150,55,12,8,3,3,0,0,0
01271,Nattages,82,01,26,24,2,0,0,0,0,0,0,0
01272,Neuville-les-Dames,82,01,92,60,27,1,2,2,0,0,0,0
01273,Neuville-sur-Ain,82,01,76,54,15,2,1,3,0,0,1,0
01274,Les Neyrolles,82,01,23,12,5,2,3,1,0,0,0,0
01275,Neyron,82,01,240,148,52,11,15,11,1,2,0,0
01276,Niévroz,82,01,94,71,16,0,4,3,0,0,0,0
01277,Nivollet-Montgriffon,82,01,4,4,0,0,0,0,0,0,0,0
01279,Oncieu,82,01,4,4,0,0,0,0,0,0,0,0
01280,Ordonnaz,82,01,13,11,2,0,0,0,0,0,0,0
01281,Ornex,82,01,147,103,30,7,4,3,0,0,0,0
01282,Outriaz,82,01,9,6,1,0,1,0,1,0,0,0
01283,Oyonnax,82,01,1516,857,444,80,78,36,14,6,1,0
01284,Ozan,82,01,37,23,9,4,0,1,0,0,0,0
01285,Parcieux,82,01,46,34,9,1,0,2,0,0,0,0
01286,Parves,82,01,8,7,1,0,0,0,0,0,0,0
